,Thời gian,Tiêu đề,URL
106,24/01/2025 00:00,PDR: Đơn xin từ nhiệm của ông Phan Lê Hòa - Phó Tổng giám đốc,https://cafef.vn/du-lieu/PDR-2123873/pdr-don-xin-tu-nhiem-cua-ong-phan-le-hoa-pho-tong-giam-doc.chn?utm_source=du-lieu.chn
107,24/01/2025 00:00,PDR: Ông Phan Lê Hòa - Phó Tổng giám đốc từ nhiệm từ 24.1.2025,https://cafef.vn/du-lieu/PDR-2123874/pdr-ong-phan-le-hoa-pho-tong-giam-doc-tu-nhiem-tu-2412025.chn?utm_source=du-lieu.chn
108,24/01/2025 00:00,PDR: Giải trình KQKD HN quý 4/2024 so với cùng kỳ năm trước,https://cafef.vn/du-lieu/PDR-2125770/pdr-giai-trinh-kqkd-hn-quy-42024-so-voi-cung-ky-nam-truoc.chn?utm_source=du-lieu.chn
109,24/01/2025 00:00,PDR: Báo cáo tình hình quản trị Công ty năm 2024,https://cafef.vn/du-lieu/PDR-2134870/pdr-bao-cao-tinh-hinh-quan-tri-cong-ty-nam-2024.chn?utm_source=du-lieu.chn
110,23/01/2025 00:04,Phát Đạt (PDR) vừa bổ nhiệm thêm 2 Phó Tổng giám đốc,https://cafef.vn/phat-dat-pdr-vua-bo-nhiem-them-2-pho-tong-giam-doc-188250122224511235.chn?utm_source=du-lieu.chn
111,22/01/2025 00:00,PDR: Bổ nhiệm ông Nguyễn Hữu giữ chức Phó Tổng giám đốc từ 22.1.2025,https://cafef.vn/du-lieu/PDR-2124203/pdr-bo-nhiem-ong-nguyen-huu-giu-chuc-pho-tong-giam-doc-tu-2212025.chn?utm_source=du-lieu.chn
112,22/01/2025 00:00,PDR: Thông báo thay đổi nhân sự - bổ nhiệm Ông Nguyễn Hữu,https://cafef.vn/du-lieu/PDR-2124206/pdr-thong-bao-thay-doi-nhan-su-bo-nhiem-ong-nguyen-huu.chn?utm_source=du-lieu.chn
113,22/01/2025 00:00,PDR: Bổ nhiệm bà Đặng Việt Tú Uyên giữ chức Phó Tổng giám đốc từ 22.1.2025,https://cafef.vn/du-lieu/PDR-2124211/pdr-bo-nhiem-ba-dang-viet-tu-uyen-giu-chuc-pho-tong-giam-doc-tu-2212025.chn?utm_source=du-lieu.chn
114,20/01/2025 19:08,Tổng Giám đốc Phát Đạt đã bán sạch cổ phiếu PDR,https://cafef.vn/tong-giam-doc-phat-dat-da-ban-sach-co-phieu-pdr-188250120181907263.chn?utm_source=du-lieu.chn
115,20/01/2025 00:00,PDR: Ông Bùi Quang Anh Vũ - Tổng giám đốc đã bán 1.436.526 cp,https://cafef.vn/du-lieu/PDR-2118370/pdr-ong-bui-quang-anh-vu-tong-giam-doc-da-ban-1436526-cp.chn?utm_source=du-lieu.chn
