,time,open,high,low,close,volume
65,2024-03-04,14.7,14.74,14.32,14.4,25311130
66,2024-03-05,14.44,14.59,14.17,14.55,29874125
67,2024-03-06,14.59,14.7,14.13,14.25,28521200
68,2024-03-07,14.25,15.24,14.21,15.08,63138648
69,2024-03-08,15.2,15.35,14.78,14.82,38539230
70,2024-03-11,14.82,14.97,14.32,14.78,34047201
71,2024-03-12,14.59,14.67,14.25,14.32,34320379
72,2024-03-13,14.36,15.31,14.36,15.31,37296099
73,2024-03-14,15.35,16.34,15.24,15.85,46846498
74,2024-03-15,15.85,16.15,15.43,15.85,25401381
75,2024-03-18,16.0,16.15,14.74,15.05,62737344
76,2024-03-19,15.2,15.2,14.7,14.7,23916971
77,2024-03-20,14.78,15.24,14.63,15.24,28830583
78,2024-03-21,15.66,15.69,15.2,15.35,32814400
79,2024-03-22,15.54,15.77,15.16,15.35,39375453
80,2024-03-25,15.77,15.77,15.24,15.39,40046640
81,2024-03-26,15.39,15.96,15.08,15.96,35867644
82,2024-03-27,16.26,16.26,15.77,16.0,26469831
83,2024-03-28,16.19,16.19,15.81,16.0,29134782
84,2024-03-29,16.0,16.0,15.62,15.66,29223933
85,2024-04-01,15.58,15.85,15.31,15.66,31825507
86,2024-04-02,15.62,15.96,15.35,15.96,25872297
87,2024-04-03,16.0,16.3,15.62,15.62,42450856
88,2024-04-04,15.66,15.69,15.24,15.31,30671326
89,2024-04-05,15.08,15.12,14.7,14.7,51531113
90,2024-04-08,14.82,14.82,14.44,14.44,33951206
91,2024-04-09,14.55,14.97,14.44,14.97,27611953
92,2024-04-10,14.97,14.97,14.63,14.63,17473552
93,2024-04-11,14.44,14.74,14.4,14.59,26488990
94,2024-04-12,14.78,15.01,14.63,14.86,22803414
95,2024-04-15,14.82,15.05,13.83,13.83,43881940
96,2024-04-16,13.79,13.87,12.91,13.6,62517746
97,2024-04-17,13.71,13.75,12.95,12.95,32314273
98,2024-04-19,12.65,13.1,12.19,12.42,47427441
99,2024-04-22,12.84,13.26,12.68,13.07,27935772
100,2024-04-23,13.07,13.1,12.53,12.61,20906648
101,2024-04-24,12.87,13.26,12.76,13.14,26371195
102,2024-04-25,13.07,13.1,12.87,13.03,15166220
103,2024-04-26,12.72,13.03,12.72,12.84,16462092
104,2024-05-02,12.84,12.91,12.65,12.76,11512836
105,2024-05-03,12.95,13.03,12.72,12.8,14418415
106,2024-05-06,12.95,13.45,12.87,13.41,28668954
